DT1 t x y ,,
DT28 t x y ,,
59.9,-591.6,86.4
60.5,-562.1,88.6
61.1,-533.6,87.8
62,-494,86.4
62.6,-460,87.8
63.3,-448.7,84.9
DW28 t x y,,
59.9,-629.1,81.6
60.5,-608.1,82.6
61.1,-566.1,79.6
62,-534.1,79.6
62.6,-504.1,81.6
63.3,-477.1,75.6
DF28 t x y,,
59.9,-537.1,69.6
60.5,-511.1,69.6
61.1,-490.1,72.6
62,-449.1,69.6
62.6,-416.1,74.6
63.3,-403.1,74.6
DT29 t x y ,,
74.1,-696.2,56.7
74.8,-643.9,62.3
75.6,-604.3,62.3
76.3,-568.9,62.3
DW29 t x y,,
74.1,-728.1,53.6
74.8,-664.1,56.6
75.6,-623.1,55.6
76.3,-581.1,57.6
DF29 t x y,,
74.1,-667.1,64.8
74.8,-622.3,64.7
75.7,-581,61.5
76.3,-556.4,57.6
DT30 t x y ,,
130.6,-451.5,69.4
131.4,-407.7,68
132,-305.9,65.1
132.6,-238,55.2
DW30 t x y,,
130.6,-459.5,64.7
131.4,-414.2,64.7
132,-407.1,63.9
132.6,-408.7,63.7
DF30 t x y,,
130.6,-442,64.7
131.4,-395.2,67.9
132,-394.4,67.1
132.6,-392,66.9
DT31 t x y ,,
134.6,-107.8,53.8
136.2,-107.8,59.5
137.2,-95.1,56.7
138.2,-92.3,60.9
139.2,-85.2,60.9
140,-76.7,62.3
DW31 t x y,,
134.6,-137.1,42.6
136.2,-111.1,52.6
137.2,-107.1,50.6
138.2,-111.1,54.6
139.2,-95.1,56.6
140,-91.1,50.6
DF31 t x y,,
134.6,-89.1,48.6
136.2,-91.1,54.6
137.2,-79.1,48.6
138.2,-73.1,50.6
139.2,-63.1,48.6
140,-39.1,44.6
DT32 t x y ,,
126.2,-366.7,77.9
127,-320,75
127.7,-276.2,69.4
128.8,-238,69.4
129.8,-151.7,76.5
DW32 t x y,,
126.2,-382.1,69.6
127,-335.1,62.6
127.7,-291.1,65.6
128.8,-251.1,68.6
129.8,-175.1,77.6
DF32 t x y,,
126.2,-347.1,67.6
127,-297.1,66.6
127.7,-259.1,64.6
128.8,-225.1,66.6
129.8,-137.1,70.6
DT33 t x y ,,
125.6,-262,68
126.4,-239.4,68
127.1,-211.1,63.7
128,-199.8,52.4
128.8,-180,25.5
DW33 t x y,,
125.6,-272.1,59.6
126.4,-256.1,65.6
127.1,-222.1,58.6
128,-212.1,47.6
128.8,-187.1,26.6
DF33 t x y,,
125.6,-239.1,58.6
126.4,-225.1,60.6
127.1,-194.1,59.6
128,-187.1,48.6
128.8,-170.1,22.6
DT34 t x y ,,
71,-129.1,72.2
71.7,-113.5,73.6
73,-103.6,69.4
73.6,-85.2,69.4
74.2,-82.4,68
DW34 t x y,,
71,-140.1,66.6
71.7,-121.1,68.6
73,-115.1,68.6
73.6,-100.1,62.6
74.2,-86.1,58.6
DF34 t x y,,
71,-117.1,66.6
71.7,-100.1,69.6
73,-92.1,67.6
73.6,-73.1,64.6
74.2,-68.1,64.6
DT35 t x y ,,
15.1,-515.1,84.4
15.8,-500.5,83.2
16.4,-481.4,82.1
16.9,-466.8,78.7
17.5,-419.6,83.2
DW35 t x y,,
15.1,-526.1,81.6
15.8,-508.1,79.6
16.4,-494.1,77.6
16.9,-477.1,74.6
17.5,-444.1,78.6
DF35 t x y,,
15.1,-501.1,80.6
15.8,-487.1,77.6
16.4,-465.1,76.6
16.9,-452.1,74.6
DT36 t x y ,,
18.3,-655.5,81
19.1,-631.9,78.7
19.9,-598.2,74.2
20.8,-563.4,75.4
DW36 t x y,,
18.3,-670.1,74.6
19.1,-643.1,75.6
19.9,-613.1,72.6
20.8,-582.1,66.6
DF36 t x y,,
18.3,-642.1,75.6
19.1,-620.1,73.6
19.9,-585.1,70.6
20.8,-549.1,66.6
DT37 t x y ,,
11.9,-556.7,75.4
12.5,-529.7,70.9
13.1,-505,74.2
13.9,-492.7,65.3
14.7,-478.1,64.1
DW37 t x y,,
11.9,-573.1,61.6
12.5,-547.1,59.6
13.1,-522.1,58.6
13.9,-505.1,60.6
14.7,-492.1,54.6
DF36 t x y,,
11.9,-540.1,66.6
12.5,-513.1,64.6
13.1,-490.1,64.6
13.9,-482.1,58.6
14.7,-462.1,56.6
DT38 t x y,,
13.1,-181.5,74.2
13.5,-170.3,74.2
14.1,-160.2,70.9
14.4,-163.5,74.2
14.7,-151.2,68.6
DW38 t x y,,
13.1,-189.08,70.59
13.5,-179.08,68.59
14.1,-169.08,63.59
14.4,-169.08,68.59
14.7,-156.08,63.59
DF38 t x y,,
13.1,-170.1,72.6
13.5,-157.1,71.6
14.1,-146.1,61.6
14.4,-145.1,67.6
14.7,-135.1,62.6
DT39 t x y ,,
12.7,-648.8,82.1
13.1,-617.3,76.5
13.4,-598.2,75.4
13.9,-579.1,73.1
14.3,-560.1,72
DW39 t x y,,
12.7,-666.1,82.6
13.1,-635.1,79.6
13.4,-611.1,69.6
13.9,-592.1,66.6
14.3,-575.1,65.6
DF39 t x y,,
12.7,-637.1,78.6
13.1,-605.1,67.6
13.4,-580.1,66.6
13.9,-565.1,65.6
14.3,-542.1,60.6
DT40 t x y ,,
19.4,-455.6,79.9
19.9,-420.8,75.4
20.4,-388.2,72
21.1,-363.5,69.8
DW40 t x y,,
19.4,-475.1,73.6
19.9,-439.1,71.6
20.4,-406.1,66.6
21.1,-375.1,63.6
DF40 t x y,,
19.4,-436.1,71.6
19.9,-399.1,67.6
20.4,-370.1,67.6
21.1,-348.1,63.6
